BOD,QUAT,,,*,,,*,,*,,*,,,,,,
,,,1,,1,,,1,,1,,1,,,,,
,,,,,,,,,,,,,,,,,
0020020,,0020020,0.0021,0,,,0,,1,,3,,,,,0.0021,60
0020021,,0020021,0.0021,1,0.0084,,0,,1,,3,,,,,0.0021,60
0020022,,0020022,0.0021,2,,,0,,1,,3,,,,,0.0021,60
0020023,,0020023,0.0021,3,,,0,,1,,3,,,,,0.0021,60
0020030,,0020030,0.0021,0,,,1,,1,,3,,,,,0.0021,60
0020031,,0020031,0.0021,1,0.0084,,1,0.0336,1,,3,,,,,0.0021,60
0020032,,0020032,0.0021,2,,,1,,1,,3,,,,,0.0021,60
0020033,,0020033,0.0021,3,,,1,,1,0.14048887,3,,,,,0.0021,60
00310,,00310,0.0021,0,,,2,,1,,3,,,,,0.0021,60
00311,,00311,0.0021,1,0.0084,,2,,1,,3,,,,,0.0021,60
00312,,00312,0.0021,2,,,2,,1,,3,,,,,0.0021,60
00313,,00313,0.0021,3,,,2,,1,,3,,,,,0.0021,60
00320,,00320,0.0021,0,,,3,,1,,3,,,,,0.0021,60
00321,,00321,0.0021,1,0.0084,,3,,1,,3,,,,,0.0021,60
00322,,00322,0.0021,2,,,3,,1,,3,,,,,0.0021,60
00323,,00323,0.0021,3,,,3,,1,,3,,,,,0.0021,60
00330,,00330,0.0021,0,,,0,,2,,3,,,,,0.0021,60
00331,,00331,0.0021,1,0.0084,,0,,2,,3,,,,,0.0021,60
00332,,00332,0.0021,2,,,0,,2,,3,,,,,0.0021,60
00333,,00333,0.0021,3,,,0,,2,,3,,,,,0.0021,60
003010,,003010,0.0021,0,,,1,,2,,3,,,,,0.0021,60
003011,,003011,0.0021,1,0.0084,,1,0.0336,2,,3,,,,,0.0021,60
003012,,003012,0.0021,2,,,1,,2,,3,,,,,0.0021,60
003013,,003013,0.0021,3,,,1,,2,,3,,,,,0.0021,60
003020,,003020,0.0021,0,,,2,,2,,3,,,,,0.0021,60
003021,,003021,0.0021,1,0.0084,,2,,2,,3,,,,,0.0021,60
003022,,003022,0.0021,2,,,2,,2,,3,,,,,0.0021,60
003023,,003023,0.0021,3,,,2,,2,,3,,,,,0.0021,60
003030,,003030,0.0021,0,,,3,,2,,3,,,,,0.0021,60
003031,,003031,0.0021,1,0.0084,,3,,2,,3,,,,,0.0021,60
003032,,003032,0.0021,2,,,3,,2,,3,,,,,0.0021,60
003033,,003033,0.0021,3,,,3,,2,,3,,,,,0.0021,60
0030000,,0030000,0.0021,0,,,0,,3,,3,,,,,0.0021,60
0030001,,0030001,0.0021,1,0.0084,,0,,3,,3,,,,,0.0021,60
0030002,,0030002,0.0021,2,,,0,,3,,3,,,,,0.0021,60
0030003,,0030003,0.0021,3,,,0,,3,,3,,,,,0.0021,60
0030010,,0030010,0.0021,0,,,1,,3,,3,,,,,0.0021,60
0030011,,0030011,0.0021,1,0.0084,,1,0.0336,3,,3,,,,,0.0021,60
0030012,,0030012,0.0021,2,,,1,,3,,3,,,,,0.0021,60
0030013,,0030013,0.0021,3,,,1,,3,,3,,,,,0.0021,60
0030020,3320,0030020,0.0021,0,,,2,,3,,3,,,,,0.0021,60
0030021,3321,0030021,0.0021,1,0.0084,,2,,3,,3,,,,,0.0021,60
0030022,3322,0030022,0.0021,2,,,2,,3,,3,,,,,0.0021,60
0030023,3323,0030023,0.0021,3,,,2,,3,,3,,,,,0.0021,60
0030030,3330,0030030,0.0021,0,,,3,,3,,3,,,,,0.0021,60
0030031,3331,0030031,0.0021,1,0.0084,,3,,3,,3,,,,,0.0021,60
0030032,3332,0030032,0.0021,2,,,3,,3,,3,,,,,0.0021,60
0030033,3333,0030033,0.0021,3,,,3,,3,,3,,,,,,
