BOD,QUAT,,,*,,,*,,*,,*,,,,,,
,,,1,,1,,,1,,1,,1,,,,,
,,,,,,,,,,,,,,,,,
300030,,20020,0.0021,0,,,0,,1,,3,,,,,0.0021,60
300031,,20021,0.0021,1,0.0084,,0,,1,,3,,,,,0.0021,60
300032,,20022,0.0021,2,,,0,,1,,3,,,,,0.0021,60
300033,,20023,0.0021,3,,,0,,1,,3,,,,,0.0021,60
300010,,20030,0.0021,0,,,1,,1,,3,,,,,0.0021,60
300011,,20031,0.0021,1,0.0084,,1,0.0336,1,,3,,,,,0.0021,60
300012,,20032,0.0021,2,,,1,,1,,3,,,,,0.0021,60
300013,,20033,0.0021,3,,,1,,1,0.14048887,3,,,,,0.0021,60
3000010,,310,0.0021,0,,,2,,1,,3,,,,,0.0021,60
3000011,,311,0.0021,1,0.0084,,2,,1,,3,,,,,0.0021,60
3000012,,312,0.0021,2,,,2,,1,,3,,,,,0.0021,60
3000013,,313,0.0021,3,,,2,,1,,3,,,,,0.0021,60
3000030,,320,0.0021,0,,,3,,1,,3,,,,,0.0021,60
3000031,,321,0.0021,1,0.0084,,3,,1,,3,,,,,0.0021,60
3000032,,322,0.0021,2,,,3,,1,,3,,,,,0.0021,60
3000033,,323,0.0021,3,,,3,,1,,3,,,,,0.0021,60
3000020,,330,0.0021,0,,,0,,2,,3,,,,,0.0021,60
3000021,,331,0.0021,1,0.0084,,0,,2,,3,,,,,0.0021,60
3000022,,332,0.0021,2,,,0,,2,,3,,,,,0.0021,60
3000023,,333,0.0021,3,,,0,,2,,3,,,,,0.0021,60
30000010,,3010,0.0021,0,,,1,,2,,3,,,,,0.0021,60
30000011,,3011,0.0021,1,0.0084,,1,0.0336,2,,3,,,,,0.0021,60
30000012,,3012,0.0021,2,,,1,,2,,3,,,,,0.0021,60
30000013,,3013,0.0021,3,,,1,,2,,3,,,,,0.0021,60
30000020,,3020,0.0021,0,,,2,,2,,3,,,,,0.0021,60
30000021,,3021,0.0021,1,0.0084,,2,,2,,3,,,,,0.0021,60
30000022,,3022,0.0021,2,,,2,,2,,3,,,,,0.0021,60
30000023,,3023,0.0021,3,,,2,,2,,3,,,,,0.0021,60
30000030,,3030,0.0021,0,,,3,,2,,3,,,,,0.0021,60
30000031,,3031,0.0021,1,0.0084,,3,,2,,3,,,,,0.0021,60
30000032,,3032,0.0021,2,,,3,,2,,3,,,,,0.0021,60
30000033,,3033,0.0021,3,,,3,,2,,3,,,,,0.0021,60
300000010,,30000,0.0021,0,,,0,,3,,3,,,,,0.0021,60
300000011,,30001,0.0021,1,0.0084,,0,,3,,3,,,,,0.0021,60
300000012,,30002,0.0021,2,,,0,,3,,3,,,,,0.0021,60
300000013,,30003,0.0021,3,,,0,,3,,3,,,,,0.0021,60
300000020,,30010,0.0021,0,,,1,,3,,3,,,,,0.0021,60
300000021,,30011,0.0021,1,0.0084,,1,0.0336,3,,3,,,,,0.0021,60
300000022,,30012,0.0021,2,,,1,,3,,3,,,,,0.0021,60
300000023,,30013,0.0021,3,,,1,,3,,3,,,,,0.0021,60
300000030,3320,30020,0.0021,0,,,2,,3,,3,,,,,0.0021,60
300000031,3321,30021,0.0021,1,0.0084,,2,,3,,3,,,,,0.0021,60
300000032,3322,30022,0.0021,2,,,2,,3,,3,,,,,0.0021,60
300000033,3323,30023,0.0021,3,,,2,,3,,3,,,,,0.0021,60
300000000,3330,30030,0.0021,0,,,3,,3,,3,,,,,0.0021,60
300000001,3331,30031,0.0021,1,0.0084,,3,,3,,3,,,,,0.0021,60
300000002,3332,30032,0.0021,2,,,3,,3,,3,,,,,0.0021,60
300000003,3333,30033,0.0021,3,,,3,,3,,3,,,,,,
